Dia,temperatura,potencia ativa A
04/09/18,"18,5","77,8644608407"
06/09/18,"19,25","75,2694693522"
11/09/18,"18,25","80,3254005478"
13/09/18,"19,5","80,3033125315"
18/09/18,22,"85,5555924716"
20/09/18,"20,75","104,3311886465"
25/09/18,"22,5","123,5447211187"
27/09/18,"22,5","119,8282655429"
01/10/18,"25,5","222,4777401921"
04/10/18,"20,5","95,4321093295"
09/10/18,"25,5","176,3295565473"
11/10/18,"20,75","108,7148527435"
16/10/18,"22,25","97,2548008013"
18/10/18,"26,25","143,0872328395"
23/10/18,"22,75","118,9336871253"
25/10/18,"20,75","82,4777928332"
30/10/18,"23,25","106,0310779705"
01/11/18,21,"103,3055380372"
06/11/18,23,"147,5133210795"
08/11/18,"21,5","97,8741482003"
13/11/18,25,"204,8660546825"
14/11/18,"27,5","223,9266404387"
20/11/18,23,"136,9982108031"
22/11/18,"25,25","181,2897632086"
27/11/18,"23,5","155,8749777806"
29/11/18,"24,75","140,0135802122"
